Language	Name	Pleiades place	Transliteration	author	date attested	details	label	source citation	source citation 2	source citation 3	source link	source link 2	source link 3
ar	دينايا	265880		gbodard,vvitale	modern		Dianium/Hemeroskopeion	Wikidata: Q646725			https://www.wikidata.org/wiki/Q646725		
tr	Denia	265880		gbodard,vvitale	modern		Dianium/Hemeroskopeion	Wikidata: Q646725			https://www.wikidata.org/wiki/Q646725		
ar	إيبيزا	265884		gbodard,vvitale	modern		Ebusus (island)	Wikidata: Q52631			https://www.wikidata.org/wiki/Q52631		
tr	İbiza	265884		gbodard,vvitale	modern		Ebusus (island)	Wikidata: Q52631			https://www.wikidata.org/wiki/Q52631		
ar	غرناطة	265921		gbodard,vvitale	modern		Iliberri	Wikidata: Q8810			https://www.wikidata.org/wiki/Q8810		
ar	أليكانتي	265954		gbodard,vvitale	modern		Lucentum	Wikidata: Q11959			https://www.wikidata.org/wiki/Q11959		
ar	سييرا مورينا	265966		gbodard,vvitale	modern		Marianus M.	Wikidata: Q686362			https://www.wikidata.org/wiki/Q686362		
ar	فيلانيوفا دي لا فوينتي، سيوداد ريال	265969		gbodard,vvitale	modern		Mentesa	Wikidata: Q1642043			https://www.wikidata.org/wiki/Q1642043		
ar	بوركونا	265982		gbodard,vvitale	modern		Obulco	Wikidata: Q375851			https://www.wikidata.org/wiki/Q375851		
ar	ميورقة	265998		gbodard,vvitale	modern		Palma	Wikidata: Q8826			https://www.wikidata.org/wiki/Q8826		
tr	Palma de Mallorca	265998		gbodard,vvitale	modern		Palma	Wikidata: Q8826			https://www.wikidata.org/wiki/Q8826		
ar	ساغونتو	266021		gbodard,vvitale	modern		Saguntum/Arse	Wikidata: Q47483			https://www.wikidata.org/wiki/Q47483		
tr	Saguntum	266021		gbodard,vvitale	modern		Saguntum/Arse	Wikidata: Q47483			https://www.wikidata.org/wiki/Q47483		
ar	أبدة	266022		gbodard,vvitale	modern		Salaria?	Wikidata: Q329984			https://www.wikidata.org/wiki/Q329984		
tr	Úbeda	266022		gbodard,vvitale	modern		Salaria?	Wikidata: Q329984			https://www.wikidata.org/wiki/Q329984		
ar	سيجوربي	266036		gbodard,vvitale	modern		Segobriga	Wikidata: Q750968			https://www.wikidata.org/wiki/Q750968		
ar	المنكب	266038		gbodard,vvitale	modern		Sexi/Saxetanum	Wikidata: Q193780			https://www.wikidata.org/wiki/Q193780		
tr	Almuñécar	266038		gbodard,vvitale	modern		Sexi/Saxetanum	Wikidata: Q193780			https://www.wikidata.org/wiki/Q193780		
ar	جبل الثلج	266046		gbodard,vvitale	modern		Solorius M.	Wikidata: Q26955			https://www.wikidata.org/wiki/Q26955		
ar	ألكاوديتي	266048		gbodard,vvitale	modern		*Sosontigi	Wikidata: Q1613282			https://www.wikidata.org/wiki/Q1613282		
ar	طليطلة	266066		gbodard,vvitale	modern		Toletum	Wikidata: Q5836			https://www.wikidata.org/wiki/Q5836		
tr	Toledo, İspanya	266066		gbodard,vvitale	modern		Toletum	Wikidata: Q5836			https://www.wikidata.org/wiki/Q5836		
